Goal,Workout Type,Duration (mins),Calories Burned (approx.),Exercises,Intensity Level,Frequency (per week)
Weight Loss,Pilates,62,480,"Squats, Bench Press, Pull-ups, Push-ups",Medium,6
Endurance,Pilates,32,379,"Burpees, Pull-ups, Lunges, Squats",Medium,4
Muscle Gain,CrossFit,25,402,"Lunges, Burpees, Push-ups, Bench Press",High,4
General Fitness,CrossFit,61,333,"Burpees, Push-ups, Jump Rope, Pull-ups",Medium,6
Muscle Gain,Strength Training,84,398,"Squats, Bench Press, Plank, Deadlifts",Medium,5
Endurance,Pilates,22,552,"Push-ups, Jump Rope, Deadlifts, Pull-ups",Low,6
Weight Loss,Pilates,36,459,"Push-ups, Burpees, Jump Rope, Squats",Medium,6
Muscle Gain,Cardio,67,246,"Bench Press, Deadlifts, Push-ups, Plank",Medium,6
Muscle Gain,Cardio,67,474,"Pull-ups, Plank, Jump Rope, Burpees",Low,5
Muscle Gain,Cardio,75,266,"Plank, Bench Press, Lunges, Deadlifts",Low,4
Weight Loss,Yoga,45,297,"Lunges, Push-ups, Burpees, Bench Press",Medium,3
General Fitness,Strength Training,56,470,"Push-ups, Bench Press, Burpees, Plank",High,6
Muscle Gain,Pilates,56,419,"Lunges, Push-ups, Pull-ups, Plank",Low,6
General Fitness,Yoga,39,470,"Pull-ups, Bench Press, Jump Rope, Burpees",Medium,5
General Fitness,Yoga,69,514,"Lunges, Deadlifts, Pull-ups, Plank",High,6
Weight Loss,CrossFit,58,321,"Pull-ups, Lunges, Jump Rope, Bench Press",Low,3
Weight Loss,CrossFit,35,531,"Pull-ups, Push-ups, Deadlifts, Jump Rope",High,3
Weight Loss,Pilates,37,420,"Deadlifts, Push-ups, Lunges, Squats",High,4
General Fitness,CrossFit,26,218,"Pull-ups, Jump Rope, Burpees, Squats",High,3
Muscle Gain,Strength Training,49,411,"Plank, Burpees, Jump Rope, Lunges",High,6
Weight Loss,Cardio,60,478,"Bench Press, Plank, Jump Rope, Burpees",Low,5
Endurance,Strength Training,76,316,"Burpees, Pull-ups, Jump Rope, Deadlifts",High,4
Endurance,Yoga,30,250,"Lunges, Plank, Deadlifts, Bench Press",Low,6
Endurance,Cardio,46,437,"Jump Rope, Bench Press, Plank, Burpees",High,6
