Goal,Meal Type,Food Items,Calories,Protein (g),Fat (g),Carbohydrates (g),Recommended Portions,Hydration Level
Muscle Gain,Breakfast,"Greek Yogurt, Berries, Honey",786,27,17,88,Large,High
General Fitness,Lunch,"Greek Yogurt, Berries, Honey",309,47,21,91,Small,Low
Weight Loss,Breakfast,"Tuna Salad, Whole Wheat Bread",373,13,28,23,Small,Moderate
Muscle Gain,Breakfast,"Tuna Salad, Whole Wheat Bread",235,45,18,41,Large,High
Weight Loss,Snack,"Scrambled Eggs, Avocado Toast",394,40,22,80,Medium,Moderate
Muscle Gain,Lunch,"Protein Shake, Nuts",749,26,17,38,Small,Low
Endurance,Breakfast,"Pasta with Chicken, Spinach, and Cheese",538,31,22,70,Large,Moderate
Muscle Gain,Breakfast,"Protein Shake, Nuts",483,16,19,33,Large,Low
Endurance,Lunch,"Grilled Chicken, Brown Rice, Broccoli",523,23,27,80,Small,Moderate
Weight Loss,Snack,"Salmon, Quinoa, Asparagus",602,46,23,100,Small,Moderate
General Fitness,Dinner,"Greek Yogurt, Berries, Honey",584,29,22,41,Small,Moderate
Weight Loss,Breakfast,"Oatmeal, Banana, Almond Butter",692,33,15,96,Medium,Moderate
Weight Loss,Snack,"Grilled Chicken, Brown Rice, Broccoli",592,26,16,89,Large,Moderate
General Fitness,Breakfast,"Salmon, Quinoa, Asparagus",325,36,13,63,Medium,Low
Weight Loss,Snack,"Grilled Chicken, Brown Rice, Broccoli",588,23,27,86,Medium,High
Endurance,Breakfast,"Tuna Salad, Whole Wheat Bread",437,14,29,51,Small,Low
Endurance,Lunch,"Beef Steak, Sweet Potato, Green Beans",560,43,7,97,Medium,High
General Fitness,Snack,"Salmon, Quinoa, Asparagus",449,16,15,59,Small,Moderate
Endurance,Snack,"Beef Steak, Sweet Potato, Green Beans",774,20,9,72,Small,Low
Endurance,Lunch,"Salmon, Quinoa, Asparagus",275,14,12,59,Large,Low
Weight Loss,Lunch,"Grilled Chicken, Brown Rice, Broccoli",466,31,5,52,Large,Low
Muscle Gain,Breakfast,"Oatmeal, Banana, Almond Butter",250,32,9,71,Medium,Low
General Fitness,Dinner,"Protein Shake, Nuts",775,38,7,98,Small,High
Muscle Gain,Lunch,"Salmon, Quinoa, Asparagus",780,13,13,80,Medium,Moderate
General Fitness,Breakfast,"Salmon, Quinoa, Asparagus",295,19,8,50,Large,Low
Muscle Gain,Lunch,"Tuna Salad, Whole Wheat Bread",581,14,5,41,Small,Low
Endurance,Snack,"Beef Steak, Sweet Potato, Green Beans",683,26,24,45,Medium,High
General Fitness,Snack,"Salmon, Quinoa, Asparagus",695,48,22,87,Large,Moderate
Muscle Gain,Breakfast,"Greek Yogurt, Berries, Honey",725,29,10,36,Large,Low
Endurance,Lunch,"Tofu Stir-Fry, Vegetables, Rice",332,18,25,39,Small,High
Weight Loss,Lunch,"Pasta with Chicken, Spinach, and Cheese",244,24,27,75,Medium,Moderate
General Fitness,Dinner,"Salmon, Quinoa, Asparagus",401,44,22,68,Large,Low
Weight Loss,Breakfast,"Tuna Salad, Whole Wheat Bread",440,37,30,33,Small,Low
General Fitness,Snack,"Oatmeal, Banana, Almond Butter",719,30,17,69,Large,Low
Endurance,Breakfast,"Scrambled Eggs, Avocado Toast",460,34,23,81,Small,Moderate
Muscle Gain,Breakfast,"Scrambled Eggs, Avocado Toast",446,20,8,96,Medium,Moderate
Muscle Gain,Lunch,"Tuna Salad, Whole Wheat Bread",501,11,22,34,Large,High
Muscle Gain,Dinner,"Grilled Chicken, Brown Rice, Broccoli",772,11,24,92,Medium,Moderate
General Fitness,Breakfast,"Salmon, Quinoa, Asparagus",485,41,14,91,Medium,Low
General Fitness,Breakfast,"Grilled Chicken, Brown Rice, Broccoli",576,17,29,68,Small,High
General Fitness,Breakfast,"Salmon, Quinoa, Asparagus",516,19,11,23,Small,Moderate
Weight Loss,Dinner,"Beef Steak, Sweet Potato, Green Beans",468,43,21,80,Small,High
General Fitness,Dinner,"Salmon, Quinoa, Asparagus",686,16,15,67,Small,High
Endurance,Breakfast,"Protein Shake, Nuts",669,45,26,68,Small,Moderate
Endurance,Lunch,"Protein Shake, Nuts",762,12,22,58,Large,Moderate
Endurance,Snack,"Greek Yogurt, Berries, Honey",621,13,9,100,Small,High
Endurance,Dinner,"Protein Shake, Nuts",236,24,27,82,Medium,Low
Weight Loss,Snack,"Scrambled Eggs, Avocado Toast",395,32,11,20,Large,Low
Muscle Gain,Dinner,"Beef Steak, Sweet Potato, Green Beans",589,25,10,77,Large,High
Weight Loss,Breakfast,"Beef Steak, Sweet Potato, Green Beans",214,41,14,87,Small,High
General Fitness,Lunch,"Tofu Stir-Fry, Vegetables, Rice",521,22,21,21,Large,Low
Endurance,Lunch,"Scrambled Eggs, Avocado Toast",672,41,29,73,Small,Low
Muscle Gain,Breakfast,"Grilled Chicken, Brown Rice, Broccoli",654,35,8,62,Medium,Low
Muscle Gain,Dinner,"Scrambled Eggs, Avocado Toast",479,49,7,78,Small,High
Endurance,Snack,"Protein Shake, Nuts",755,22,26,29,Medium,Moderate
Endurance,Breakfast,"Pasta with Chicken, Spinach, and Cheese",773,38,28,44,Large,Moderate
Endurance,Lunch,"Tofu Stir-Fry, Vegetables, Rice",592,14,10,67,Large,Moderate
General Fitness,Snack,"Oatmeal, Banana, Almond Butter",718,15,22,73,Large,Low
Endurance,Lunch,"Scrambled Eggs, Avocado Toast",366,39,23,30,Large,Moderate
Endurance,Snack,"Greek Yogurt, Berries, Honey",377,12,21,80,Large,Low
Endurance,Breakfast,"Grilled Chicken, Brown Rice, Broccoli",615,50,22,67,Small,Low
Muscle Gain,Dinner,"Protein Shake, Nuts",601,16,10,52,Small,High
General Fitness,Breakfast,"Tuna Salad, Whole Wheat Bread",254,47,27,56,Large,High
Muscle Gain,Dinner,"Tofu Stir-Fry, Vegetables, Rice",513,15,14,60,Medium,High
Weight Loss,Breakfast,"Scrambled Eggs, Avocado Toast",535,31,26,43,Large,Low
Muscle Gain,Snack,"Salmon, Quinoa, Asparagus",423,21,26,98,Small,Moderate
Muscle Gain,Breakfast,"Beef Steak, Sweet Potato, Green Beans",467,22,5,78,Large,Low
Endurance,Dinner,"Pasta with Chicken, Spinach, and Cheese",209,41,30,50,Large,Low
General Fitness,Lunch,"Salmon, Quinoa, Asparagus",677,23,28,96,Small,High
